"","Position","Window.size","r.squared","Fold","ROI"
"317","masked_pre",151,0.568515793391257,10,1
"318","masked_pre",151,0.605112559252276,8,1
"319","masked_pre",151,0.560336076848394,5,1
"320","masked_pre",151,0.576631053474367,9,1
"321","masked_pre",161,0.49234844606452,3,0
"322","masked_pre",161,0.501058938333709,2,0
"323","masked_pre",161,0.477266503136373,1,0
"324","masked_pre",161,0.462160416806724,6,0
"325","masked_pre",161,0.461204575853089,7,0
"326","masked_pre",161,0.463146278309444,4,0
"327","masked_pre",161,0.491284233058039,10,0
"328","masked_pre",161,0.470939735727378,8,0
"329","masked_pre",161,0.478855284899734,5,0
"330","masked_pre",161,0.475736015781792,9,0
"331","masked_pre",161,0.575237649529986,3,1
"332","masked_pre",161,0.585284378696416,2,1
"333","masked_pre",161,0.593070714190384,1,1
"334","masked_pre",161,0.587489213266452,6,1
"335","masked_pre",161,0.589742098446093,7,1
"336","masked_pre",161,0.599753106984624,4,1
"337","masked_pre",161,0.577833592029266,10,1
"338","masked_pre",161,0.61491875715285,8,1
"339","masked_pre",161,0.568174530222988,5,1
"340","masked_pre",161,0.586475475649558,9,1
"341","masked_pre",171,0.497439476592507,3,0
"342","masked_pre",171,0.505605567883258,2,0
"343","masked_pre",171,0.48205187496433,1,0
"344","masked_pre",171,0.466634721804789,6,0
"345","masked_pre",171,0.465379584049303,7,0
"346","masked_pre",171,0.469045147650803,4,0
"347","masked_pre",171,0.497240853904506,10,0
"348","masked_pre",171,0.476105600972193,8,0
"349","masked_pre",171,0.484358289046214,5,0
"350","masked_pre",171,0.480225179110057,9,0
"351","masked_pre",171,0.5807489935878,3,1
"352","masked_pre",171,0.592131883363741,2,1
"353","masked_pre",171,0.598963217441358,1,1
"354","masked_pre",171,0.594859035083028,6,1
"355","masked_pre",171,0.597735787398426,7,1
"356","masked_pre",171,0.607501519821235,4,1
"357","masked_pre",171,0.585097064747696,10,1
"358","masked_pre",171,0.621094844185095,8,1
"359","masked_pre",171,0.574308843933474,5,1
"360","masked_pre",171,0.594748329008385,9,1
"361","masked_pre",181,0.503403527192927,3,0
"362","masked_pre",181,0.511366763413631,2,0
"363","masked_pre",181,0.486748125782023,1,0
"364","masked_pre",181,0.472024420689419,6,0
"365","masked_pre",181,0.469235157907492,7,0
"366","masked_pre",181,0.475148154322669,4,0
"367","masked_pre",181,0.50357729473955,10,0
"368","masked_pre",181,0.482127184209663,8,0
"369","masked_pre",181,0.490126234162701,5,0
"370","masked_pre",181,0.485803061633284,9,0
"371","masked_pre",181,0.586984976027112,3,1
"372","masked_pre",181,0.598208710391153,2,1
"373","masked_pre",181,0.605282584976767,1,1
"374","masked_pre",181,0.602705240126972,6,1
"375","masked_pre",181,0.605741148913979,7,1
"376","masked_pre",181,0.615570911990123,4,1
"377","masked_pre",181,0.591947749971491,10,1
"378","masked_pre",181,0.62746830110955,8,1
"379","masked_pre",181,0.582656658703329,5,1
"380","masked_pre",181,0.603164647980464,9,1
"381","masked_pre",191,0.509033228013185,3,0
"382","masked_pre",191,0.517862979460141,2,0
"383","masked_pre",191,0.492281283046716,1,0
"384","masked_pre",191,0.477439386638519,6,0
"385","masked_pre",191,0.473877256752302,7,0
